critere,critere_type,condition,nct_id,nb_etudes
"""secondary"" ICH: ICH resulting from intracranial vascular malformation, intracranial venous thrombosis, head trauma or tumour; haemorrhagic transformation within an infarct",exclusion,stroke,['NCT04621357'],1
"(a) T1DM at Screening Visit: (i) For US only: patients with T1DM treated with SGLT2i for at least 4 months, without DKA during that period, and who have experience with ketone monitoring are eligible for inclusion.",exclusion,hypertension,['NCT06268873'],1
(b) Uncontrolled T2DM at screening: HbA1C \> 10.5% (\> 91 mmol/mol).,exclusion,hypertension,['NCT06268873'],1
"(ii) For Japan only: patients with T1DM treated with dapagliflozin 10 mg for at least 4 months, without DKA during the period of dapagliflozin treatment are eligible for inclusion.",exclusion,hypertension,['NCT06268873'],1
"\* patients may enrol during the first 6 months of standard endocrine therapy, and wait until at least 6 months of endocrine therapy has been received prior to starting ctDNA surveillance",inclusion,breast cancer,['NCT04985266'],1
"≤ MAS \< 4 on elbow or wrist flexors,",inclusion,stroke,['NCT05315726'],1
≥ 18 and ≤ 55 years for phase I,inclusion,healthy,['NCT06821126'],1
≥ 18 and ≤ 60 years for phase II.,inclusion,healthy,['NCT06821126'],1
a head size incompatible with the use of a personalized 3D headcast or a magnetoencephalography,exclusion,healthy,['NCT04457622'],1
A history of stroke or recent trauma to the head,exclusion,healthy,['NCT04457622'],1
"A pacemaker, insulin or other pump, neurostimulator, cochlear implants or other hearing aid, metal stents, prosthesis, or implants, intracerebral clips, implantable defibrillator, cerebral shunt or ventricular catheter, other foreign metal objects in the upper part of the body",exclusion,healthy,['NCT04457622'],1
A piercing or obstruction in the nostrils that could impede vaccine administration.,exclusion,healthy,['NCT06821126'],1
"Able to follow a rehabilitation program on medical opinion (no medical issues or acute intercurrent medical events),",inclusion,stroke,['NCT05315726'],1
Able to swallow tablets,inclusion,breast cancer,['NCT05696626'],1
Able to understand and voluntarily sign a written informed consent before any screening procedures.,inclusion,breast cancer,['NCT05696626'],1
"Able to understand, read, and write French,",inclusion,depression,['NCT06035731'],1
"Abnormal and deemed clinically significant result by the investigator following the routine analyzes carried out at the time of the screening visit (any grade 4 biological result, even if deemed not clinically significant by the investigator, constitutes an exclusion criterion).",exclusion,healthy,['NCT06821126'],1
Absence of health insurance,exclusion,hypertension,['NCT05521776'],1
"Absence of hepatocellular carcinoma outside at least one nodule \&gt; 3 cm in diameter, or more than 3 nodules, on ultrasound, CT-scan or MRI performed during the previous 6 months",inclusion,hypertension,['NCT06687265'],1
Absence of metastatic disease,inclusion,breast cancer,['NCT05981326'],1
absence of pre-existing neurological handicap (mRS 0-2),inclusion,stroke,['NCT04282629'],1
"Absence of severe progressive neurologic and/or somatic pathologies (specially tumors, degenerative diseases)",inclusion,depression,['NCT05894980'],1
"Active bleeding,",exclusion,hypertension,['NCT04356326'],1
"Active cardiac disease or history of cardiac dysfunction, including any of the following:",exclusion,breast cancer,['NCT05896566'],1
active cause of cirrhosis and:,inclusion,hypertension,['NCT06687265'],1
"Active cause of cirrhosis, or resolution (alcohol cessation, sustained virological response to direct-acting antiviral treatment for HCV, initiation of nucleoside/nucleotide analog treatment for HBV) for at least 6 months",inclusion,hypertension,['NCT06687265'],1
"Active inflammatory bowel disease or chronic diarrhea, short bowel syndrome, or major upper gastrointestinal surgery including gastric resection.",exclusion,breast cancer,['NCT05896566'],1
"Active or uncontrolled infections (e.g., sepsis, tuberculosis, hepatitis B or hepatitis C at the screening visit, human immunodeficiency virus\[HIV\]) that could complicate participation in the study.",exclusion,healthy,['NCT07090889'],1
Active systemic bacterial or fungal infection (requiring intravenous \[IV\] antibiotics or antifungals at the time of initiating study treatment).,exclusion,breast cancer,['NCT05696626'],1
acute / chronic renal insufficiency (Cl \<50ml / min),exclusion,stroke,['NCT04282629'],1
Adequate organ function,inclusion,breast cancer,['NCT05696626'],1
Administrative problems:,exclusion,obesity,['NCT05032326'],1
"Admitted within 12 hours of stroke onset. For wake-up strokes, time of last seen well will be considered as stroke onset",inclusion,stroke,['NCT04621357'],1
"Adolescents aged 14+/- 6 months,",inclusion,depression,['NCT06351501'],1
"Adult patient \> 18 years old,",inclusion,stroke,['NCT05315726'],1
Adult patient ≥18 years old,inclusion,stroke,['NCT06538974'],1
"Adult patient,",inclusion,stroke,['NCT05315726'],1
Adult patients,inclusion,stroke,['NCT05378126'],1
Adults who are deprived of their liberty by judicial or administrative decision,exclusion,stroke,['NCT04621357'],1
Advanced or moderate chronic kidney disease (eGFR 15 to 44.9 mL/min/1.73m² using CKD-EPI formula),inclusion,hypertension,['NCT05732727'],1
Affiliated or entitled participant in a social security scheme,inclusion,healthy,['NCT04423874'],1
Affiliated to or beneficiary of a health insurance system (including AME),inclusion,hypertension,['NCT05521776'],1
Affiliated to social security,inclusion,depression,['NCT05480826'],1
"Affiliated with a social security scheme,",inclusion,depression,['NCT06035731'],1
Affiliation of health care assurance,exclusion,obesity,['NCT01501201'],1
Affiliation of the patient to a social security scheme,inclusion,stroke,['NCT04759326'],1
Affiliation to social security,inclusion,hypertension,['NCT04356326'],1
affiliation to social security or benefiting through a third person,inclusion,stroke,['NCT04282629'],1
